C86,17h40m42,-53°40'28,ARA,Globular Cluster,5.3,31′,NGC 6397
C87,03h12m16,-55°12'58,HOROLOGIUM,Globular Cluster,8.3,7′,NGC 1261
C88,15h05m45,-55°37'30,CIRCINUS,Open Cluster,7.9,12′,NGC 5823
C89,16h18m48,-57°56'00,NORMA,Open Cluster,5.4,15′,S Nor Cluster
C90,09h21m25,-58°18'41,CARINA,Planetary Nebula,9.7,24″,NGC 2867
C91,11h05m33,-58°43'48,CARINA,Open Cluster,3.0,50′,Wishing Well Cluster
C92,10h45m09,-59°52'04,CARINA,Emission Nebula,3.0,120′,Carina Nebula
C93,19h10m52,-59°59'04,PAVO,Globular Cluster,5.3,29′,Pavo Globular
C94,12h53m42,-60°22'00,CRUX,Open Cluster,4.2,10′,Jewel Box Cluster
C95,16h03m42,-60°30'00,TRIANGULUM AUSTRALE,Open Cluster,5.1,15′,NGC 6025
C96,07h58m20,-60°52'00,CARINA,Open Cluster,3.8,22′,Diamond Cluster
C97,11h36m06,-61°38'00,CENTAURUS,Open Cluster,5.3,15′,Pearl Cluster
C98,12h42m18,-62°59'42,CRUX,Open Cluster,6.9,6′,Coalsack Cluster
C99,12h50m00,-62°30'00,CRUX,Dark Nebula,-,420′x300′,Coalsack Nebula
C100,11h36m36,-63°02'00,CENTAURUS,Emission Nebula,4.5,60′x35′,Running Chicken Nebula
C101,19h09m46,-63°51'27,PAVO,Spiral Galaxy,8.5,20′x13′,NGC 6744
C102,10h42m58,-64°23'39,CARINA,Open Cluster,1.6,102′,Southern Pleiades
C103,05h38m42,-69°06'00,DORADO,Open Cluster & Nebula,8.3,20′,Tarantula Nebula
C104,01h03m14,-70°50'56,TUCANA,Globular Cluster,6.8,14′,NGC 362
C105,12h59m34,-70°52'35,MUSCA,Globular Cluster,8.4,14′,NGC 4833
C106,00h24m06,-72°04'53,TUCANA,Globular Cluster,4.0,50′,47 Tucanae
C107,16h25m48,-72°12'08,APUS,Globular Cluster,9.2,5′,NGC 6101
C108,12h26m00,-72°40'00,MUSCA,Globular Cluster,7.2,5′,NGC 4372
C109,10h09m21,-80°51'31,CHAMAELEON,Planetary Nebula,11.6,42″x30″,NGC 3195
